"Sample_ID","total_sites","homozygous_sites","heterozygous_sites","missing_sites","prop_homozygous","prop_heterozygous","prop_missing"
"JVLJ-690-5",983,829,25,129,0.843336724313327,0.0254323499491353,0.131230925737538
"JVLJ-690-7",983,837,24,122,0.85147507629705,0.0244150559511699,0.12410986775178
"JVLJ-690-9",983,832,29,122,0.846388606307223,0.0295015259409969,0.12410986775178
"Q44",983,875,35,73,0.890132248219735,0.0356052899287894,0.0742624618514751
"S0088",983,936,1,46,0.952187182095626,0.00101729399796541,0.046795523906409
"S0133",983,775,185,23,0.788402848423194,0.188199389623601,0.0233977619532045
"S0146",983,844,108,31,0.858596134282808,0.109867751780264,0.0315361139369278
"S0215",983,957,4,22,0.973550356052899,0.00406917599186165,0.0223804679552391
"S0351",983,945,2,36,0.961342828077314,0.00203458799593082,0.0366225839267548
"S0398",983,938,8,37,0.954221770091557,0.0081383519837233,0.0376398779247202
"S0569",983,939,7,37,0.955239064089522,0.00712105798575788,0.0376398779247202
"S0615",983,818,113,52,0.832146490335707,0.114954221770092,0.0528992878942014
"S0619",983,856,80,47,0.870803662258393,0.081383519837233,0.0478128179043744
"S0620",983,819,50,114,0.833163784333672,0.0508646998982706,0.115971515768057
"S0621",983,866,75,42,0.880976602238047,0.0762970498474059,0.0427263479145473
"S0645",983,862,27,94,0.876907426246185,0.0274669379450661,0.0956256358087487
"S0728",983,824,124,35,0.8382502543235,0.126144455747711,0.0356052899287894
"S0768",983,723,229,31,0.735503560528993,0.232960325534079,0.0315361139369278
"S0795",983,927,6,50,0.943031536113937,0.00610376398779247,0.0508646998982706
"S0881",983,688,240,55,0.699898270600203,0.244150559511699,0.0559511698880977
"S0887",983,732,207,44,0.744659206510682,0.21057985757884,0.0447609359104781
"S0928",983,746,197,40,0.758901322482197,0.200406917599186,0.0406917599186165
"S0965",983,782,145,56,0.795523906408952,0.147507629704985,0.0569684638860631
"S0985",983,788,166,29,0.801627670396745,0.168870803662258,0.0295015259409969
"S1057",983,686,237,60,0.697863682604273,0.241098677517803,0.0610376398779247
"S1065",983,827,119,37,0.841302136317396,0.121057985757884,0.0376398779247202
"S1087",983,828,107,48,0.842319430315361,0.108850457782299,0.0488301119023398
"S1099",983,733,207,43,0.745676500508647,0.21057985757884,0.0437436419125127
"S1106",983,705,235,43,0.717192268565615,0.239064089521872,0.0437436419125127
"S1207",983,743,200,40,0.755849440488301,0.203458799593082,0.0406917599186165
"S1248",983,779,160,44,0.792472024415056,0.162767039674466,0.0447609359104781
"S1260",983,733,228,22,0.745676500508647,0.231943031536114,0.0223804679552391
"S1390",983,732,185,66,0.744659206510682,0.188199389623601,0.0671414038657172
"S1433",983,785,180,18,0.798575788402848,0.183112919633774,0.0183112919633774
"S1439",983,724,218,41,0.736520854526958,0.22177009155646,0.0417090539165819
"S1465",983,812,136,35,0.826042726347915,0.138351983723296,0.0356052899287894
"S1478",983,761,193,29,0.774160732451678,0.196337741607325,0.0295015259409969
"S1484",983,762,193,28,0.775178026449644,0.196337741607325,0.0284842319430315
"S1526",983,710,236,37,0.722278738555443,0.240081383519837,0.0376398779247202
"S1538",983,731,221,31,0.743641912512716,0.224821973550356,0.0315361139369278
"S1553",983,753,196,34,0.766022380467955,0.199389623601221,0.034587995930824
"S1567",983,691,244,48,0.7029501525941,0.248219735503561,0.0488301119023398
"S1569",983,769,187,27,0.782299084435402,0.190233977619532,0.0274669379450661
"S1579",983,750,195,38,0.762970498474059,0.198372329603255,0.0386571719226857
"S1601",983,937,2,44,0.953204476093591,0.00203458799593082,0.0447609359104781
"S1602",983,972,1,10,0.98880976602238,0.00101729399796541,0.0101729399796541
"S1603",983,962,2,19,0.978636826042726,0.00203458799593082,0.0193285859613428
"S1604",983,959,9,15,0.97558494404883,0.00915564598168871,0.0152594099694812
"S1605",983,952,6,25,0.968463886063072,0.00610376398779247,0.0254323499491353
"S1606",983,962,4,17,0.978636826042726,0.00406917599186165,0.017293997965412
"S1607",983,877,5,101,0.892166836215666,0.00508646998982706,0.102746693794507
"S1609",983,951,6,26,0.967446592065107,0.00610376398779247,0.0264496439471007
"S1610",983,935,5,43,0.95116988809766,0.00508646998982706,0.0437436419125127
"S1613",983,942,5,36,0.958290946083418,0.00508646998982706,0.0366225839267548
"S1615",983,960,11,12,0.976602238046796,0.0111902339776195,0.0122075279755849
"S1616",983,939,11,33,0.955239064089522,0.0111902339776195,0.0335707019328586
"S1617",983,956,7,20,0.972533062054934,0.00712105798575788,0.0203458799593082
"S1621",983,944,5,34,0.960325534079349,0.00508646998982706,0.034587995930824
"S1623",983,950,3,30,0.966429298067141,0.00305188199389624,0.0305188199389624
"S1624",983,965,3,15,0.981688708036623,0.00305188199389624,0.0152594099694812
"S1625",983,958,4,21,0.974567650050865,0.00406917599186165,0.0213631739572737
"S1626",983,927,4,52,0.943031536113937,0.00406917599186165,0.0528992878942014
"S1627",983,964,5,14,0.980671414038657,0.00508646998982706,0.0142421159715158
"S1628",983,967,3,13,0.983723296032553,0.00305188199389624,0.0132248219735504
"S1629",983,939,5,39,0.955239064089522,0.00508646998982706,0.0396744659206511
"S1630",983,917,4,62,0.932858596134283,0.00406917599186165,0.0630722278738555
"S1631",983,960,3,20,0.976602238046796,0.00305188199389624,0.0203458799593082
"S1633",983,960,2,21,0.976602238046796,0.00203458799593082,0.0213631739572737
"S1634",983,941,4,38,0.957273652085453,0.00406917599186165,0.0386571719226857
"S1635",983,955,1,27,0.971515768056968,0.00101729399796541,0.0274669379450661
"S1636",983,959,4,20,0.97558494404883,0.00406917599186165,0.0203458799593082
"S1637",983,962,3,18,0.978636826042726,0.00305188199389624,0.0183112919633774
"S1638",983,944,3,36,0.960325534079349,0.00305188199389624,0.0366225839267548
"S1639",983,929,3,51,0.945066124109868,0.00305188199389624,0.051881993896236
"S1640",983,930,8,45,0.946083418107833,0.0081383519837233,0.0457782299084435
"S1642",983,932,6,45,0.948118006103764,0.00610376398779247,0.0457782299084435
"S1643",983,941,5,37,0.957273652085453,0.00508646998982706,0.0376398779247202
"S1644",983,925,7,51,0.940996948118006,0.00712105798575788,0.051881993896236
"S1645",983,930,5,48,0.946083418107833,0.00508646998982706,0.0488301119023398
"S1646",983,915,3,65,0.930824008138352,0.00305188199389624,0.0661241098677518
"S1647",983,917,8,58,0.932858596134283,0.0081383519837233,0.0590030518819939
"S1648",983,926,3,54,0.942014242115972,0.00305188199389624,0.0549338758901322
"S1649",983,926,5,52,0.942014242115972,0.00508646998982706,0.0528992878942014
"S1650",983,881,5,97,0.896236012207528,0.00508646998982706,0.098677517802645
"S1651",983,936,6,41,0.952187182095626,0.00610376398779247,0.0417090539165819
"S1652",983,961,3,19,0.977619532044761,0.00305188199389624,0.0193285859613428
"S1653",983,950,7,26,0.966429298067141,0.00712105798575788,0.0264496439471007
"S1654",983,954,1,28,0.970498474059003,0.00101729399796541,0.0284842319430315
"S1655",983,926,9,48,0.942014242115972,0.00915564598168871,0.0488301119023398
"S1656",983,940,3,40,0.956256358087487,0.00305188199389624,0.0406917599186165
"S1657",983,955,4,24,0.971515768056968,0.00406917599186165,0.0244150559511699
"S1658",983,931,4,48,0.947100712105799,0.00406917599186165,0.0488301119023398
"S1659",983,927,6,50,0.943031536113937,0.00610376398779247,0.0508646998982706
"S1660",983,933,3,47,0.949135300101729,0.00305188199389624,0.0478128179043744
"S1661",983,906,6,71,0.921668362156663,0.00610376398779247,0.0722278738555443
"S1662",983,926,5,52,0.942014242115972,0.00508646998982706,0.0528992878942014
"S1663",983,840,102,41,0.854526958290946,0.103763987792472,0.0417090539165819
"S1664",983,771,183,29,0.784333672431333,0.18616480162767,0.0295015259409969
